2023-07-04 10:09:21,367 [main] INFO  Main - p
2023-07-04 10:17:11,366 [main] INFO  Main - Welcome to the flight finder. Please input an origin city.
2023-07-04 10:17:38,412 [main] INFO  Main - Falcon Ganon
2023-07-04 10:19:09,051 [main] INFO  Main - Welcome to the flight finder. Please input an origin city.
2023-07-04 10:19:11,997 [main] INFO  Main - Now input a destination.
2023-07-04 10:19:14,372 [main] INFO  Main - a s
2023-07-04 11:30:37,747 [main] INFO  Main - Welcome to the flight finder. Please input an origin city.
2023-07-04 11:30:42,353 [main] INFO  Main - Now input a destination.
2023-07-04 11:30:43,254 [main] INFO  Main - a a
2023-07-04 11:31:05,457 [main] INFO  com.solvd.block3.business_logic.Main - Welcome to the flight finder. Please input an origin city.
2023-07-04 11:31:07,495 [main] ERROR com.solvd.block3.ui.UiUtils - City doesn't exist in database. Please try again.
2023-07-04 11:31:15,683 [main] ERROR com.solvd.block3.ui.UiUtils - City doesn't exist in database. Please try again.
2023-07-04 15:50:35,998 [main] INFO  com.solvd.block3.business_logic.Main - Welcome to the flight finder. Please input an origin city.
2023-07-04 15:50:40,489 [main] INFO  com.solvd.block3.business_logic.Main - Now input a destination.
2023-07-04 15:50:43,117 [main] INFO  com.solvd.block3.business_logic.Main - u p
2023-07-05 19:39:35,987 [main] INFO  com.solvd.block3.services.SomeClass - [Country{countryId=1, name='South Korea'}, Country{countryId=2, name='United States'}, Country{countryId=3, name='United Kingdom'}, Country{countryId=4, name='United Arab Emirates'}, Country{countryId=5, name='Australia'}, Country{countryId=6, name='Peru'}, Country{countryId=7, name='France'}, Country{countryId=8, name='Germany'}, Country{countryId=9, name='China'}, Country{countryId=10, name='Brazil'}, Country{countryId=11, name='Canada'}, Country{countryId=12, name='India'}, Country{countryId=13, name='Russia'}, Country{countryId=14, name='Netherlands'}, Country{countryId=15, name='Mexico'}, Country{countryId=16, name='Italy'}, Country{countryId=17, name='Spain'}, Country{countryId=18, name='Turkey'}, Country{countryId=19, name='Japan'}, Country{countryId=20, name='South Africa'}]
2023-07-05 19:39:38,134 [main] INFO  com.solvd.block3.services.SomeClass - City{cityId=4, name='Dubai', country=Country{countryId=4, name='Dubai'}}
2023-07-05 19:39:40,347 [main] INFO  com.solvd.block3.services.SomeClass - Airport{airportId=4, name='Dubai International Airport', city=City{cityId=4, name='Dubai International Airport', country=Country{countryId=4, name='Dubai International Airport'}}, latitude=25.2522, longitude=55.3644}
2023-07-05 19:39:42,592 [main] INFO  com.solvd.block3.services.SomeClass - Airline{airlineId=2, name='United Airlines'}
